seq_no,busr,api_id,org_code,own_org_code,ast_id,scope,res_data

1,snuNQmzeOp,PCXcXBLguh,ORG2025002,ORG2025001,FlyxhQs5OQ,bank.ca,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_ORG2025002_ORG2025001_RA20250002_CA20250001_20250131014952_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6ImRhNTJkNGVhLWYxM2ItNDBkYi04NzYyLTVjYjI5YjY3NGYzNiIsImV4cCI6MTczODI5MTc5NSwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODE5NX0.FwDTXgPmxLoDYpOayPYPFChfV2mpy6LN6Bo6mlzmxs4"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjU0MmZiZjZkLTYxMzgtNGFhZC04NTY1LTUxZjc1Y2EzOWIwZCIsImV4cCI6MTczODM3NDU5NSwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODE5NX0.yHdKsNX8w4g118407FqxJDE-O7GMmsNAYZf8vZDU2bE"",""refresh_token_expires_in"":86400}"
2,IaJT2ZSsO9,isKWYZBbO2,ORG2025002,ORG2025001,Ph1GUlvUyc,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:49:56.277Z"",""basic_cnt"":1,""basicList"":[{""currency_code"":""KRW"",""saving_method"":""METHOD_03"",""issue_date"":""2023-01-09T02:28:02.759Z"",""exp_date"":""2025-04-21T12:27:45.941Z"",""commit_amt"":""78846.758"",""monthly_paid_in_amt"":""3535.471""}]}"
3,rgja13ejZz,yUppAiIEqO,ORG2025002,ORG2025001,Aonab0hPNT,bank.ca,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_ORG2025002_ORG2025001_RA20250001_CA20250001_20250131015251_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjM4ZjI3OThmLTk0YmItNDg5OS1hNWE1LTM3NzNmYzAyZjRjMiIsImV4cCI6MTczODI5MTk3NCwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODM3NH0.aiYMXe8EWK_AysngGb3UE9h-BgddCtQPEF8p5Ii5I08"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjYxODcyMmNiLWJkNjgtNGE5Yy05ZmYzLTE5NmZmMjAzY2MzMCIsImV4cCI6MTczODM3NDc3NCwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODM3NH0.6ncZ9YLBZyNEKjR2_jHLOY3ohwOOnKkXCZ4x3whXk8A"",""refresh_token_expires_in"":86400}"
4,HA8WD9Cj9u,FmniiJ0Lmf,ORG2025002,ORG2025001,PRB0zR6xjd,bank.ca,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_ORG2025002_ORG2025001_RA20250005_CA20250001_20250131015256_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjRmYTdmZjk2LTJiOWQtNDQ1Zi04NmVjLTk5MjM1ZTAxNDZhYyIsImV4cCI6MTczODI5MTk3OCwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODM3OH0.Zj85gzar6_HuO5rWgnG4-Lt9yDfEXn1jo7Rl2mnqh3E"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjgzNjBkMTVjLTM3NjQtNDA5OC1iYjBhLTJjMjkwN2UyNzY1ZSIsImV4cCI6MTczODM3NDc3OCwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODM3OH0.1_OCgDMM2c-7J6qnCAu2xCga1qIhEoUarlTGvLAlQDY"",""refresh_token_expires_in"":86400}"
5,BHsOeDOhG6,xIm5YUnmXZ,ORG2025002,ORG2025001,qf7W6oX0pX,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:52:59.523Z"",""detail_cnt"":1,""detailList"":[{""currency_code"":""KRW"",""balance_amt"":""799833.049"",""withdrawable_amt"":""798743.404"",""offered_rate"":""0.019"",""last_paid_in_cnt"":1}]}"
6,FMGTAOGzKz,uuwt4Ghq28,ORG2025002,ORG2025001,PXsIjBvSe1,bank.ca,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_ORG2025002_ORG2025001_RA20250002_CA20250001_20250131015302_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjM2NDkyYzRlLWE4OGItNGIwYS1iZDk1LTg3YWZkNmY1ODI3YyIsImV4cCI6MTczODI5MTk4NCwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODM4NH0.OdTDtCXUhibXt4qEpTea2_WMR3hiw1Xrrw9wGf8_8Jk"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjNiMWUzNzdjLWJjZmQtNDZkMy1hMzMzLTIzOWRjMTdkZTRiOCIsImV4cCI6MTczODM3NDc4NCwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODM4NH0.2tKret7HFMywBMOVv3bsYwrw_wGviTSBCziTvQmbrEM"",""refresh_token_expires_in"":86400}"
7,YsoKWj1nWE,vhuCdLIsml,ORG2025002,ORG2025001,RLUgflB3ZT,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:53:05.088Z"",""basic_cnt"":1,""basicList"":[{""currency_code"":""USD"",""saving_method"":""METHOD_02"",""issue_date"":""2024-03-14T22:39:10.899Z"",""exp_date"":""2025-05-06T20:27:41.951Z"",""commit_amt"":""469875.073"",""monthly_paid_in_amt"":""4148.272""}]}"
8,DtGJT5Rs0K,xUzVUTMgRM,ORG2025002,ORG2025001,nVqMS6WUkx,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:53:05.785Z"",""detail_cnt"":1,""detailList"":[{""currency_code"":""USD"",""balance_amt"":""436982.181"",""withdrawable_amt"":""436480.484"",""offered_rate"":""0.029"",""last_paid_in_cnt"":6}]}"
9,XMCRspvvJS,oFXmwFFqHB,ORG2025002,ORG2025001,lyfSbKpbCG,bank.ca,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_ORG2025002_ORG2025001_RA20250003_CA20250001_20250131015308_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjNmNTk1OTI1LWIwYTEtNGJhOS05ZDVmLWY0MTgyYjdhMDc4MiIsImV4cCI6MTczODI5MTk5MCwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODM5MH0.f50yzuLSVLk3qE9WVbiZ-xqiyOlzFGXt3RgD3cdTNek"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjFlMmJlNjNhLWUwMjctNDliMC1hOTBlLTE0YzlkYTJjODY2NCIsImV4cCI6MTczODM3NDc5MCwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODM5MH0._KNeU9J7b5h6MNsIRniaG4wmAfEjXukP0Mbk4rdaxxQ"",""refresh_token_expires_in"":86400}"
10,SaJJ8hgBL7,Vj76RGvWJG,ORG2025002,ORG2025001,iXqyAsylkc,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:53:11.016Z"",""basic_cnt"":1,""basicList"":[{""currency_code"":""KRW"",""saving_method"":""METHOD_03"",""issue_date"":""2023-03-16T03:42:15.267Z"",""exp_date"":""2025-07-08T10:55:49.293Z"",""commit_amt"":""139895.079"",""monthly_paid_in_amt"":""3959.546""}]}"
11,STxBrgblvo,sIjbgf739m,ORG2025002,ORG2025001,IAukyYa2C6,bank.ca,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_ORG2025002_ORG2025001_RA20250002_CA20250001_20250131015313_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjMyMDI1OTI1LWU3N2QtNGEzOC05ZGM4LTA2NjBhNDBkODBlNSIsImV4cCI6MTczODI5MTk5NSwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODM5NX0.Mk1540H7aF3Opf2UgZTJ5LCy0WU4L7dbYDqGdiLM16Q"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjllMDJhZjdkLWFlNmEtNGJjYy1iYTdhLThhYWNiMjUzYTI0YiIsImV4cCI6MTczODM3NDc5NSwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODM5NX0.eYw3pIF69jPrp6bXllcYyDKDdM6XkU2KRmyu6Nso6Ao"",""refresh_token_expires_in"":86400}"
12,rRBW4qgPxc,EI6JvnaU7C,ORG2025002,ORG2025001,9JyG0eIPsB,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:53:16.072Z"",""basic_cnt"":1,""basicList"":[{""currency_code"":""USD"",""saving_method"":""METHOD_01"",""issue_date"":""2023-12-10T06:48:51.231Z"",""exp_date"":""2025-10-25T09:44:07.237Z"",""commit_amt"":""154019.986"",""monthly_paid_in_amt"":""905.761""}]}"
13,SkIknHgC1W,RBq1rVUa4Y,ORG2025002,ORG2025001,a8QsZksKC2,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:53:16.679Z"",""detail_cnt"":1,""detailList"":[{""currency_code"":""USD"",""balance_amt"":""403940.336"",""withdrawable_amt"":""403923.33"",""offered_rate"":""0.026"",""last_paid_in_cnt"":12}]}"
14,lhzCtnYz3E,XtTX32aGYX,ORG2025002,ORG2025001,u79weRUFrr,bank.ca,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_ORG2025002_ORG2025001_RA20250003_CA20250001_20250131015319_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjVlM2UxNmQwLThlYWQtNDllMC1hYjI0LTJmYWMwOTVmNzRmMSIsImV4cCI6MTczODI5MjAwMSwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODQwMX0.l_3jTPTRffTfvC8gieYyR89vnepL_ZcdqSTFVV0H4TM"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6ImEwMGYxMDIwLTE5NDUtNGI0OC1iYTU1LWJhOTA4Y2EzOTc0NSIsImV4cCI6MTczODM3NDgwMSwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODQwMX0.PDnKXbKpBvwKJAb4IRiO5vAVwnW4PUz4g3u81CTQX5M"",""refresh_token_expires_in"":86400}"
15,AD3pwFQof0,nJldLkEZ47,ORG2025002,ORG2025001,dKNV1W6gaM,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:53:21.882Z"",""basic_cnt"":1,""basicList"":[{""currency_code"":""USD"",""saving_method"":""METHOD_03"",""issue_date"":""2024-03-06T19:31:55.193Z"",""exp_date"":""2025-02-22T05:09:34.822Z"",""commit_amt"":""377879.714"",""monthly_paid_in_amt"":""1811.74""}]}"
16,RWAijEvbGA,8udvoFolOB,ORG2025002,ORG2025001,WfshBKf76b,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:53:22.504Z"",""detail_cnt"":1,""detailList"":[{""currency_code"":""USD"",""balance_amt"":""801656.952"",""withdrawable_amt"":""798702.679"",""offered_rate"":""0.044"",""last_paid_in_cnt"":1}]}"
17,SM286PqFBW,Y3cUADMSa6,ORG2025002,ORG2025001,zb01kjEfxd,bank.ca,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_ORG2025002_ORG2025001_RA20250004_CA20250001_20250131015324_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6ImYwYmNlNjhmLWMxYmItNDJmZi05YWFhLTE2NmRjNzA5Njk0NSIsImV4cCI6MTczODI5MjAwNywic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODQwN30.x5szgP-B89EJsxTu8nkTKD7VYMulHectTdz6wDyrHTs"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjgyZDY0ZWVjLTRmNjgtNGI5OC04ZDM4LTIzZmM5MDlkZDlkNCIsImV4cCI6MTczODM3NDgwNywic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODQwN30.362v1FkV_V-FyZNu_dhNjtGcf6Sy65YHagC5w1D5osI"",""refresh_token_expires_in"":86400}"
18,3PHv6MUDm3,9zCJN2QRRw,ORG2025002,ORG2025001,s3szDVwJOE,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:53:27.734Z"",""basic_cnt"":1,""basicList"":[{""currency_code"":""PHP"",""saving_method"":""METHOD_01"",""issue_date"":""2023-05-25T11:21:43.000Z"",""exp_date"":""2025-06-27T05:52:44.206Z"",""commit_amt"":""486310.466"",""monthly_paid_in_amt"":""3479.391""}]}"
19,07UmX9V7B7,kdIZu1AuMj,ORG2025002,ORG2025001,3Xv7IvrPNL,bank.ca,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_ORG2025002_ORG2025001_RA20250005_CA20250001_20250131015330_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjRkMmU3ZGE5LTdmYjYtNGI0OC05MDI4LWMyZTJlNTA5NDBhNyIsImV4cCI6MTczODI5MjAxMiwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODQxMn0.Qlph3Ye7fP5bow4L3LwhVzS_04p8Zd3HBAzNZBGiagU"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6ImU0YTA5OWVlLTBhYjItNDU0Ny04NDc4LTFlMDA5MTk2MzkyYSIsImV4cCI6MTczODM3NDgxMiwic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODQxMn0.dmQj2ndUwm2WzDRIqLeuVSUCzCI0usIRjlmmNkZ8M_8"",""refresh_token_expires_in"":86400}"
20,SOlvf3HUxA,m6zIzuEFFo,ORG2025002,ORG2025001,wFNlFUukrG,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:53:32.956Z"",""detail_cnt"":1,""detailList"":[{""currency_code"":""USD"",""balance_amt"":""478390.069"",""withdrawable_amt"":""477984.5"",""offered_rate"":""0.028"",""last_paid_in_cnt"":12}]}"
21,lH50hPguvB,X47cjBgZ2M,ORG2025002,ORG2025001,YnLiIgXMgZ,bank.ca,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_ORG2025002_ORG2025001_RA20250003_CA20250001_20250131015335_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6ImE5ODJjOWJhLWZmNDgtNDM1OC05YmNlLTFiMmI0MDA2MDA1MiIsImV4cCI6MTczODI5MjAxNywic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODQxN30.3ewfqIVDpXBsJr1A-UENFGLNHUcL_wOtbTSBGUPyg84"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjllMzgyMDIwLTQzNTktNDJlYy04YjU4LTQ2YmNmN2VlYTY0NyIsImV4cCI6MTczODM3NDgxNywic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODQxN30.nOveCpuhf7tymgHzGX-G2oeKSHkmxrDFIZ5Xh5Q3zPw"",""refresh_token_expires_in"":86400}"
22,wvjtLa3NPd,L43ZpT8pBN,ORG2025002,ORG2025001,L0CeRs4J1m,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:53:38.240Z"",""detail_cnt"":1,""detailList"":[{""currency_code"":""PHP"",""balance_amt"":""454536.769"",""withdrawable_amt"":""453099.336"",""offered_rate"":""0.048"",""last_paid_in_cnt"":10}]}"
23,y8HIW8FqQY,NonUD3dQhG,ORG2025002,ORG2025001,0xPwUpJXQj,bank.ca,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_ORG2025002_ORG2025001_RA20250003_CA20250001_20250131015340_XXAB00490002"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjhhNmEzMDUwLWJjYzUtNGNiYy05NGU5LWQ1NmY5OGExOWVjMyIsImV4cCI6MTczODI5MjAyMywic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODQyM30.iolKn_FsOyVsRhh3OuR2ss7oIo05dEwtnGq6cNhiYFc"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6ImYzZTk1YTA4LWYxNDUtNDU0ZC04MjQxLWI2M2M1Yjc1YTAxYyIsImV4cCI6MTczODM3NDgyMywic2NvcGUiOiJpcCIsImlhdCI6MTczODI4ODQyM30.QHTEqvxUUCbEeR3ubidptlWmjx7bKHf5Lq8nyIxN0wU"",""refresh_token_expires_in"":86400}"
24,lRJ3SdCDgd,6Dj4puE9OE,ORG2025002,ORG2025001,81M9a0JpUl,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:53:43.688Z"",""basic_cnt"":1,""basicList"":[{""currency_code"":""USD"",""saving_method"":""METHOD_02"",""issue_date"":""2023-05-03T07:18:00.168Z"",""exp_date"":""2025-07-21T11:34:00.653Z"",""commit_amt"":""650673.548"",""monthly_paid_in_amt"":""3299.456""}]}"
25,w3ETw9ks0j,d4kTUFpYCD,ORG2025002,ORG2025001,V7kiKtk4oS,bank.deposit,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""2025-01-31T01:53:44.293Z"",""detail_cnt"":1,""detailList"":[{""currency_code"":""USD"",""balance_amt"":""710918.517"",""withdrawable_amt"":""708631.8540000001"",""offered_rate"":""0.046"",""last_paid_in_cnt"":7}]}"
