request.url,request.method,request.header.authorization,request.headers.user-agent,request.header.x-api-tran-id,request.header.x-api-type,request.header.x-csrf-token,request.headers.cookie,request.headers.set_cookie,request.headers.content-length,request.body,response.body,response.status,attack.type

http://localhost:4000/api/oauth/2.0/token,POST,,Mozilla/5.0,IA00220250208083443,,,,,579,"""{\""tx_id\"":\""MD_ORG2025002_ORG2025001_RA20250001_CA20250001_20250208083441_XXAB00490000\"",\""org_code\"":\""ORG2025002\"",\""grant_type\"":\""password\"",\""client_id\"":\""ORG2025002-CLIENT-ID\"",\""client_secret\"":\""ORG2025002-CLIENT-SECRET\"",\""ca_code\"":\""RA20250001\"",\""username\"":\""Mjk3MjIz\"",\""request_type\"":\""1\"",\""password_len\"":\""12\"",\""password\"":\""UEFTU1dPUkQ=\"",\""auth_type\"":\""1\"",\""consent_type\"":\""1\"",\""consent_len\"":\""16\"",\""consent\"":\""Y29uc2VudC0wMDI=\"",\""signed_person_info_req_len\"":\""16\"",\""signed_person_info_req\"":\""RGVsbEJhcnRvbg==\"",\""consent_nonce\"":\""D2025886150591475271\"",\""ucpid_nonce\"":\""N2025293588816805454\"",\""cert_tx_id\"":\""202502080834415736a2864fee4e15be6cb977f4\"",\""service_id\"":\""ORG2025002080220250001\""}""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""tx_id\"":\""MD_ORG2025002_ORG2025001_RA20250001_CA20250001_20250208083441_XXAB00490000\"",\""token_type\"":\""Bearer\"",\""access_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjU2MzhjMmU3LTI3NTAtNDI4My04ZmRjLTAxMzk4N2NkODljYyIsImV4cCI6MTczOTAwNzI4Mywic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzY4M30.mVpJZdNXDZtvJNIg-_14brU9-3P931vPanIh8O1Yyig\"",\""expires_in\"":3600,\""refresh_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6ImFkZDRlOGUzLTc4ZWEtNDE2NS1hZmZjLTQ1MmNkNTc5ODhmNyIsImV4cCI6MTczOTA5MDA4Mywic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzY4M30.mUtVDeqVdMZS247sXQHOEeYzKJerKYOh8vRLQ7XyJmk\"",\""refresh_token_expires_in\"":86400}""",200,
http://localhost:4000/api/v2/bank/accounts/deposit/detail,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjU2MzhjMmU3LTI3NTAtNDI4My04ZmRjLTAxMzk4N2NkODljYyIsImV4cCI6MTczOTAwNzI4Mywic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzY4M30.mVpJZdNXDZtvJNIg-_14brU9-3P931vPanIh8O1Yyig,Mozilla/5.0,ADD0120250208083444,,,,,99,"""{\""org_code\"":\""ORG2025001\"",\""account_num\"":\""2986443218\"",\""next\"":\""0\"",\""search_timestamp\"":\""20250208083444\""}""","""{\""code\"":\""1004\"",\""message\"":\""Invalid or missing x-api-type\""}""",400,SQLi
http://localhost:4000/api/oauth/2.0/token,POST,,Mozilla/5.0,IA00220250208083449,,,,,579,"""{\""tx_id\"":\""MD_ORG2025002_ORG2025001_RA20250002_CA20250001_20250208083446_XXAB00490000\"",\""org_code\"":\""ORG2025002\"",\""grant_type\"":\""password\"",\""client_id\"":\""ORG2025002-CLIENT-ID\"",\""client_secret\"":\""ORG2025002-CLIENT-SECRET\"",\""ca_code\"":\""RA20250002\"",\""username\"":\""ODQ1Mjg3\"",\""request_type\"":\""1\"",\""password_len\"":\""12\"",\""password\"":\""UEFTU1dPUkQ=\"",\""auth_type\"":\""1\"",\""consent_type\"":\""1\"",\""consent_len\"":\""16\"",\""consent\"":\""Y29uc2VudC0wMDI=\"",\""signed_person_info_req_len\"":\""16\"",\""signed_person_info_req\"":\""Q2xhaXJTdGFyaw==\"",\""consent_nonce\"":\""V2025873323818623427\"",\""ucpid_nonce\"":\""F2025819405624822889\"",\""cert_tx_id\"":\""2025020808344611c26b3e5e5a44fbb3b50e2c26\"",\""service_id\"":\""ORG2025002080220250001\""}""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""tx_id\"":\""MD_ORG2025002_ORG2025001_RA20250002_CA20250001_20250208083446_XXAB00490000\"",\""token_type\"":\""Bearer\"",\""access_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6Ijc5MGVlYmIwLWE3NTktNGMxNC1hZDM3LWM0YWEyYjhiMzQ4YSIsImV4cCI6MTczOTAwNzI4OSwic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzY4OX0._jtPgUZ1m03gRlBQ3ndj0lP1RGSp2KidPLW3z8xTF7U\"",\""expires_in\"":3600,\""refresh_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6ImVjZjVkMjBhLTc5ZjktNGNiZC1iMmM2LTRkM2UwNmUxOTcyMCIsImV4cCI6MTczOTA5MDA4OSwic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzY4OX0.BBUewYvJd3cMvJiE1CU_FwASLzPQ0G5G1FJgiM3CYNw\"",\""refresh_token_expires_in\"":86400}""",200,
http://localhost:4000/api/v2/bank/accounts/deposit/basic,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6Ijc5MGVlYmIwLWE3NTktNGMxNC1hZDM3LWM0YWEyYjhiMzQ4YSIsImV4cCI6MTczOTAwNzI4OSwic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzY4OX0._jtPgUZ1m03gRlBQ3ndj0lP1RGSp2KidPLW3z8xTF7U,Mozilla/5.0,ADB0120250208083449,,,,,99,"""{\""org_code\"":\""ORG2025001\"",\""account_num\"":\""9596541580\"",\""next\"":\""0\"",\""search_timestamp\"":\""20250208083449\""}""","""{\""code\"":\""1004\"",\""message\"":\""Invalid or missing x-api-type\""}""",400,
http://localhost:4000/api/oauth/2.0/token,POST,,Mozilla/5.0,IA00220250208083454,,,,,575,"""{\""tx_id\"":\""MD_ORG2025002_ORG2025001_RA20250003_CA20250001_20250208083452_XXAB00490000\"",\""org_code\"":\""ORG2025002\"",\""grant_type\"":\""password\"",\""client_id\"":\""ORG2025002-CLIENT-ID\"",\""client_secret\"":\""ORG2025002-CLIENT-SECRET\"",\""ca_code\"":\""RA20250003\"",\""username\"":\""MjMzMjEz\"",\""request_type\"":\""1\"",\""password_len\"":\""12\"",\""password\"":\""UEFTU1dPUkQ=\"",\""auth_type\"":\""1\"",\""consent_type\"":\""1\"",\""consent_len\"":\""16\"",\""consent\"":\""Y29uc2VudC0wMDI=\"",\""signed_person_info_req_len\"":\""16\"",\""signed_person_info_req\"":\""Q2hyaXN0aW5lS3Vi\"",\""consent_nonce\"":\""B2025811426266122804\"",\""ucpid_nonce\"":\""T2025279783565449236\"",\""cert_tx_id\"":\""202502080834522ffe0c4efee74664beeaf9fa30\"",\""service_id\"":\""ORG2025002080220250001\""}""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""tx_id\"":\""MD_ORG2025002_ORG2025001_RA20250003_CA20250001_20250208083452_XXAB00490000\"",\""token_type\"":\""Bearer\"",\""access_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6ImJkNTQ2OTI0LTA3YWUtNGU3NS04MTlmLTg4ZWJmMjFkMTg0YSIsImV4cCI6MTczOTAwNzI5NCwic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzY5NH0.An7W0W4ga99ronlaXUEdbqFxQR_We2L21eELGwN5IS4\"",\""expires_in\"":3600,\""refresh_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjYyMmQ4MzdiLTdlMjItNDAyYS05ZDViLWE3MmQ5ZGQ2MjQyZCIsImV4cCI6MTczOTA5MDA5NCwic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzY5NH0.o835WUCaWJpVX907Sn8KGQPeeTSMUl4MLcPyKn3hnnU\"",\""refresh_token_expires_in\"":86400}""",200,
http://localhost:4000/api/v2/bank/accounts/deposit/basic,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6ImJkNTQ2OTI0LTA3YWUtNGU3NS04MTlmLTg4ZWJmMjFkMTg0YSIsImV4cCI6MTczOTAwNzI5NCwic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzY5NH0.An7W0W4ga99ronlaXUEdbqFxQR_We2L21eELGwN5IS4,Mozilla/5.0,ADB0120250208083454,,,session=admin123; Path=/,,99,"""{\""org_code\"":\""ORG2025001\"",\""account_num\"":\""7366845436\"",\""next\"":\""0\"",\""search_timestamp\"":\""20250208083454\""}""","""{\""code\"":\""1004\"",\""message\"":\""Invalid or missing x-api-type\""}""",400,CookieInjection
http://localhost:4000/api/oauth/2.0/token,POST,,Mozilla/5.0,IA00220250208083459,,,,,579,"""{\""tx_id\"":\""MD_ORG2025002_ORG2025001_RA20250002_CA20250001_20250208083457_XXAB00490000\"",\""org_code\"":\""ORG2025002\"",\""grant_type\"":\""password\"",\""client_id\"":\""ORG2025002-CLIENT-ID\"",\""client_secret\"":\""ORG2025002-CLIENT-SECRET\"",\""ca_code\"":\""RA20250002\"",\""username\"":\""Mjg0MDY2\"",\""request_type\"":\""1\"",\""password_len\"":\""12\"",\""password\"":\""UEFTU1dPUkQ=\"",\""auth_type\"":\""1\"",\""consent_type\"":\""1\"",\""consent_len\"":\""16\"",\""consent\"":\""Y29uc2VudC0wMDE=\"",\""signed_person_info_req_len\"":\""16\"",\""signed_person_info_req\"":\""SXNtYWVsUm93ZQ==\"",\""consent_nonce\"":\""E2025121216817703057\"",\""ucpid_nonce\"":\""E2025401834537250130\"",\""cert_tx_id\"":\""202502080834576deadd78e9bc4dde84a05952b1\"",\""service_id\"":\""ORG2025002080220250001\""}""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""tx_id\"":\""MD_ORG2025002_ORG2025001_RA20250002_CA20250001_20250208083457_XXAB00490000\"",\""token_type\"":\""Bearer\"",\""access_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjQ1N2QyMGEzLWI3M2MtNGQxZC1hYjc2LTk3MmEzOWNjYzU0OSIsImV4cCI6MTczOTAwNzI5OSwic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzY5OX0.ryJh3i-2kh73Q67MtK3zpvPna-qBx_bVmXd3ae_tU50\"",\""expires_in\"":3600,\""refresh_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6Ijc5NGQxYjA2LTJjODYtNDA1YS1iMjgwLWJhZmJjZjE1ZDQ3NiIsImV4cCI6MTczOTA5MDA5OSwic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzY5OX0.IXMzF1P5gScXRqtEOBNQLREkDFphfGnSD1GdFN5fi3M\"",\""refresh_token_expires_in\"":86400}""",200,
http://localhost:4000/api/v2/bank/accounts/deposit/detail,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjQ1N2QyMGEzLWI3M2MtNGQxZC1hYjc2LTk3MmEzOWNjYzU0OSIsImV4cCI6MTczOTAwNzI5OSwic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzY5OX0.ryJh3i-2kh73Q67MtK3zpvPna-qBx_bVmXd3ae_tU50,Mozilla/5.0,ADD0120250208083459,,,,,99,"""{\""org_code\"":\""ORG2025001\"",\""account_num\"":\""4798965015\"",\""next\"":\""0\"",\""search_timestamp\"":\""20250208083459\""}""","""{\""code\"":\""1004\"",\""message\"":\""Invalid or missing x-api-type\""}""",400,
http://localhost:4000/api/oauth/2.0/token,POST,,Mozilla/5.0,IA00220250208083504,,,,,573,"""{\""tx_id\"":\""MD_ORG2025002_ORG2025001_RA20250001_CA20250001_20250208083502_XXAB00490000\"",\""org_code\"":\""ORG2025002\"",\""grant_type\"":\""password\"",\""client_id\"":\""ORG2025002-CLIENT-ID\"",\""client_secret\"":\""ORG2025002-CLIENT-SECRET\"",\""ca_code\"":\""RA20250001\"",\""username\"":\""MTQwMDY4\"",\""request_type\"":\""1\"",\""password_len\"":\""12\"",\""password\"":\""UEFTU1dPUkQ=\"",\""auth_type\"":\""1\"",\""consent_type\"":\""1\"",\""consent_len\"":\""16\"",\""consent\"":\""Y29uc2VudC0wMDI=\"",\""signed_person_info_req_len\"":\""12\"",\""signed_person_info_req\"":\""TWF0ZW9GYXk=\"",\""consent_nonce\"":\""E2025577926651575940\"",\""ucpid_nonce\"":\""K2025200447144266118\"",\""cert_tx_id\"":\""202502080835021216778634ae4d10a41e93aa64\"",\""service_id\"":\""ORG2025002080220250001\""}""","""{\""rsp_code\"":\""0000\"",\""rsp_msg\"":\""Success\"",\""tx_id\"":\""MD_ORG2025002_ORG2025001_RA20250001_CA20250001_20250208083502_XXAB00490000\"",\""token_type\"":\""Bearer\"",\""access_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6IjBmZDdkODllLWQwYzQtNGJkMS05ODc2LTA4ZTRhODA2ZTdhYyIsImV4cCI6MTczOTAwNzMwNCwic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzcwNH0.AiBhgfOpWoZn9pWMfd6zijYe4Ck6ydrlIWSX26_O8VE\"",\""expires_in\"":3600,\""refresh_token\"":\""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJPUkcyMDI1MDAyLUNMSUVOVC1JRCIsImp0aSI6Ijg3ZTJiY2E1LThiNjctNDRhMy05MDM3LWIwZWFhMzM1YWU3ZiIsImV4cCI6MTczOTA5MDEwNCwic2NvcGUiOiJpcCIsImlhdCI6MTczOTAwMzcwNH0.CLF-X-cHIl-niSF9YX-VxFWqJC4vMptcmOsk0xiBz-M\"",\""refresh_token_expires_in\"":86400}""",200,
