timestamp,attack.type,request.url,request.method,request.headers.authorization,request.headers.user-agent,request.headers.x-api-tran-id,request.headers.x-api-type,request.headers.x-csrf-token,request.headers.cookie,request.headers.set_cookie,request.headers.content-type,request.headers.content-length,request.body,response.headers.x-api-tran-id,response.headers.content-type,response.body,response.status

2025-03-19T08:04:44.196Z,DirectoryTraversal,http://localhost:4000/api/oauth/2.0/token,POST,,Mozilla/5.0,../../../../etc/hosts,,,,,application/x-www-form-urlencoded,641,"{""tx_id"":""MD_bond123456_anya123456_ra20250001_certauth00_20250319080433_XXAB00490000"",""org_code"":""bond123456"",""grant_type"":""password"",""client_id"":""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca"",""client_secret"":""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o"",""ca_code"":""certauth00"",""username"":""NTQ3MDE1"",""request_type"":""1"",""password_len"":""12"",""password"":""UEFTU1dPUkQ="",""auth_type"":""1"",""consent_type"":""1"",""consent_len"":""16"",""consent"":""Y29uc2VudC0wMDI="",""signed_person_info_req_len"":""24"",""signed_person_info_req"":""UmljYXJkb1dpbGxpYW1zb24="",""consent_nonce"":""U2025629419069601501"",""ucpid_nonce"":""X2025251878701683830"",""cert_tx_id"":""20250319080433811a6631343d449daf313f62c9"",""service_id"":""anya123456190320250001""}",../../../../etc/hosts,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_bond123456_anya123456_ra20250001_certauth00_20250319080433_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6IjE1YjIzN2IyLTU3ZmYtNGE5YS1iNzJkLWQ2YjlmNGQzNTUyYiIsImV4cCI6MTc0MjM3NTA4NCwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3MTQ4NH0.-Msk8LZoiNrasRzy88VnMrBXvY9YInoE4clFUIwnR18"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6IjkzZWJkMmZkLWI0ZWQtNGJlMy05ZjYyLWJiMWIxNjI3ZWRjZiIsImV4cCI6MTc0MjQ1Nzg4NCwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3MTQ4NH0.A5v3Eb9Rw8K4oKHo4cBsfx37DfpG2OM_GuCX-dbEHEc"",""refresh_token_expires_in"":86400}",200
2025-03-19T08:04:59.592Z,,http://localhost:4000/api/oauth/2.0/token,POST,,Mozilla/5.0,bond123456ST5MDOQHLFDVZ2M,,,,,application/x-www-form-urlencoded,633,"{""tx_id"":""MD_bond123456_anya123456_ra20250003_certauth00_20250319080450_XXAB00490000"",""org_code"":""bond123456"",""grant_type"":""password"",""client_id"":""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca"",""client_secret"":""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o"",""ca_code"":""certauth00"",""username"":""MDQ5Mjg4"",""request_type"":""1"",""password_len"":""12"",""password"":""UEFTU1dPUkQ="",""auth_type"":""1"",""consent_type"":""1"",""consent_len"":""16"",""consent"":""Y29uc2VudC0wMDI="",""signed_person_info_req_len"":""16"",""signed_person_info_req"":""Q2lhcmFIaXJ0aGU="",""consent_nonce"":""D2025656169975489373"",""ucpid_nonce"":""M2025861776083196136"",""cert_tx_id"":""20250319080450a913ba9459464aca8750a2bf13"",""service_id"":""anya123456190320250001""}",bond123456ST5MDOQHLFDVZ2M,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_bond123456_anya123456_ra20250003_certauth00_20250319080450_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6IjEwYzEzMjc0LWE3ZGYtNDkzMS04YmY2LWRkMzA0YzY0MWM3NSIsImV4cCI6MTc0MjM3NTA5OSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3MTQ5OX0.RrrDjcKWi-5dGTUkw5U4NRArADzLO4dOLnSvUnU2MFw"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6ImRhZDIyNzIyLWY4ZmEtNGFkOC1iNTgwLWU2YzUyODY2MmQ0YSIsImV4cCI6MTc0MjQ1Nzg5OSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3MTQ5OX0.s3T43EVouWhtr2mc3_uiNVqbv97jItQ217XIXDtafko"",""refresh_token_expires_in"":86400}",200
2025-03-19T08:05:01.959Z,,http://localhost:4000/api/v2/bank/accounts/deposit/basic,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6IjEwYzEzMjc0LWE3ZGYtNDkzMS04YmY2LWRkMzA0YzY0MWM3NSIsImV4cCI6MTc0MjM3NTA5OSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3MTQ5OX0.RrrDjcKWi-5dGTUkw5U4NRArADzLO4dOLnSvUnU2MFw,Mozilla/5.0,bond123456SZGSC8NTQGPXK2A,regular,,,,application/json;charset=UTF-8,99,"{""org_code"":""anya123456"",""account_num"":""8969951308"",""next"":""0"",""search_timestamp"":""20250319080501""}",bond123456SZGSC8NTQGPXK2A,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""20250319080501"",""basic_cnt"":1,""basicList"":[{""currency_code"":""USD"",""saving_method"":""METHOD_01"",""issue_date"":""2023-01-06T11:02:55.486Z"",""exp_date"":""2025-05-18T16:30:59.384Z"",""commit_amt"":""871538.329"",""monthly_paid_in_amt"":""3078.154""}]}",200
2025-03-19T08:05:17.219Z,,http://localhost:4000/api/oauth/2.0/token,POST,,Mozilla/5.0,bond123456SL5DQF3U0HWNACJ,,,,,application/x-www-form-urlencoded,635,"{""tx_id"":""MD_bond123456_anya123456_ra20250002_certauth00_20250319080508_XXAB00490000"",""org_code"":""bond123456"",""grant_type"":""password"",""client_id"":""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca"",""client_secret"":""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o"",""ca_code"":""certauth00"",""username"":""OTg0MTQw"",""request_type"":""1"",""password_len"":""12"",""password"":""UEFTU1dPUkQ="",""auth_type"":""1"",""consent_type"":""1"",""consent_len"":""16"",""consent"":""Y29uc2VudC0wMDI="",""signed_person_info_req_len"":""16"",""signed_person_info_req"":""S2FlbGFPcnRpeg=="",""consent_nonce"":""J2025517292609802053"",""ucpid_nonce"":""U2025664218994763398"",""cert_tx_id"":""202503190805086b5a17bdbe24454dbbf2c61bff"",""service_id"":""anya123456190320250001""}",bond123456SL5DQF3U0HWNACJ,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_bond123456_anya123456_ra20250002_certauth00_20250319080508_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6IjFhYjQ4M2M4LTBhZjMtNGJlNy1iNzg2LTlmZjE5YjZlOTdjYSIsImV4cCI6MTc0MjM3NTExNywic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3MTUxN30.UBnL35d_fzrH52NLElSzRFe0zUyUd1OUvi5g6MinzAg"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6IjA3M2JlOTgyLTI5ZDEtNGFiOS1iNWQxLTRjNTZmZmIzNDA3NiIsImV4cCI6MTc0MjQ1NzkxNywic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3MTUxN30.MIKd65FZGl0O9dcP-UMkPwxzVOE85ZWT2pa-Ca5YC8o"",""refresh_token_expires_in"":86400}",200
2025-03-19T08:05:19.411Z,,http://localhost:4000/api/v2/bank/accounts/deposit/basic,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6IjFhYjQ4M2M4LTBhZjMtNGJlNy1iNzg2LTlmZjE5YjZlOTdjYSIsImV4cCI6MTc0MjM3NTExNywic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3MTUxN30.UBnL35d_fzrH52NLElSzRFe0zUyUd1OUvi5g6MinzAg,Mozilla/5.0,bond123456SQYRT5TDGARLZJ5,irregular,,,,application/json;charset=UTF-8,99,"{""org_code"":""anya123456"",""account_num"":""4731949421"",""next"":""0"",""search_timestamp"":""20250319080519""}",bond123456SQYRT5TDGARLZJ5,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""20250319080519"",""basic_cnt"":1,""basicList"":[{""currency_code"":""KRW"",""saving_method"":""METHOD_02"",""issue_date"":""2024-12-12T17:22:06.925Z"",""exp_date"":""2025-08-09T19:32:25.452Z"",""commit_amt"":""347465.933"",""monthly_paid_in_amt"":""3606.014""}]}",200
2025-03-19T08:28:16.476Z,,http://localhost:4000/api/oauth/2.0/token,POST,,Mozilla/5.0,bond123456SSVVP5PIEVOA1F4,,,,,application/x-www-form-urlencoded,639,"{""tx_id"":""MD_bond123456_anya123456_ra20250003_certauth00_20250319082807_XXAB00490000"",""org_code"":""bond123456"",""grant_type"":""password"",""client_id"":""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca"",""client_secret"":""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o"",""ca_code"":""certauth00"",""username"":""ODc4MjU1"",""request_type"":""1"",""password_len"":""12"",""password"":""UEFTU1dPUkQ="",""auth_type"":""1"",""consent_type"":""1"",""consent_len"":""16"",""consent"":""Y29uc2VudC0wMDM="",""signed_person_info_req_len"":""20"",""signed_person_info_req"":""Q2hleWVubmVEYXZpcw=="",""consent_nonce"":""I2025259001830882271"",""ucpid_nonce"":""C2025516716728505509"",""cert_tx_id"":""20250319082807c60feac582804c8aa444540537"",""service_id"":""anya123456190320250001""}",bond123456SSVVP5PIEVOA1F4,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_bond123456_anya123456_ra20250003_certauth00_20250319082807_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6IjRhOTgyZGJlLWE0NTctNDRjMi05N2QyLTRlODNlZDQ4YWM2NyIsImV4cCI6MTc0MjM3NjQ5Niwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3Mjg5Nn0.X4Fm-DGi1qs-q4ndHYBNY76Vh9NuchqAmJB6caanOZY"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6ImI1N2ViNDRlLTIzODYtNGUwYS04ZDg5LWIyNTI0YjkxNGI3OCIsImV4cCI6MTc0MjQ1OTI5Niwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3Mjg5Nn0.BOZdTnHRyJfR_6ciMJ8dzm1thb8LaKmHyVf4ZsLjU-o"",""refresh_token_expires_in"":86400}",200
2025-03-19T08:28:31.744Z,DirectoryTraversal,http://localhost:4000/api/oauth/2.0/token,POST,,../../../../etc/hosts,bond123456SSI5CS5K4EDN0RR,,,,,application/x-www-form-urlencoded,645,"{""tx_id"":""MD_bond123456_anya123456_ra20250003_certauth00_20250319082823_XXAB00490000"",""org_code"":""bond123456"",""grant_type"":""password"",""client_id"":""wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578m4q7xv9zb2tgca"",""client_secret"":""a0l3ytkpdhqrvcfz926btm4q7xv9zb2tgc8rjy6kphudsnew5o"",""ca_code"":""certauth00"",""username"":""MTUyNjE5"",""request_type"":""1"",""password_len"":""12"",""password"":""UEFTU1dPUkQ="",""auth_type"":""1"",""consent_type"":""1"",""consent_len"":""16"",""consent"":""Y29uc2VudC0wMDI="",""signed_person_info_req_len"":""28"",""signed_person_info_req"":""TWF2aXNCb2RlLU1hY2Vqa292aWM="",""consent_nonce"":""I2025862095493560342"",""ucpid_nonce"":""Z2025920640259145233"",""cert_tx_id"":""202503190828230f7547f6d1a04f3f9b225d949e"",""service_id"":""anya123456190320250001""}",bond123456SSI5CS5K4EDN0RR,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_bond123456_anya123456_ra20250003_certauth00_20250319082823_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6Ijk5Y2MyMmI0LWY3ZTktNDg2Yy05MDJlLTdjNTVjYWE3NDk0MiIsImV4cCI6MTc0MjM3NjUxMSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3MjkxMX0.cdzhIfp-jbdXEdqK808xTXqPf-bqEbRzd3e7M8thepk"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6Ijk0NmIyODBhLWU2ZGYtNDZlZi1iZDE2LWJhYmM3NWExMWQzOSIsImV4cCI6MTc0MjQ1OTMxMSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3MjkxMX0.NfhSVOuYkH0q8waOjPimdMqq-XgSYqsNjzX4VXgUN7s"",""refresh_token_expires_in"":86400}",200
2025-03-19T08:28:33.989Z,,http://localhost:4000/api/v2/bank/accounts/deposit/basic,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6Ijk5Y2MyMmI0LWY3ZTktNDg2Yy05MDJlLTdjNTVjYWE3NDk0MiIsImV4cCI6MTc0MjM3NjUxMSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3MjkxMX0.cdzhIfp-jbdXEdqK808xTXqPf-bqEbRzd3e7M8thepk,Mozilla/5.0,bond123456SVJFTBHGWNT8GAC,regular,,,,application/json;charset=UTF-8,99,"{""org_code"":""anya123456"",""account_num"":""1884741832"",""next"":""0"",""search_timestamp"":""20250319082833""}",bond123456SVJFTBHGWNT8GAC,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""20250319082833"",""basic_cnt"":1,""basicList"":[{""currency_code"":""KRW"",""saving_method"":""METHOD_03"",""issue_date"":""2023-07-11T21:01:12.060Z"",""exp_date"":""2025-09-30T19:15:29.416Z"",""commit_amt"":""237891.585"",""monthly_paid_in_amt"":""1830.817""}]}",200
2025-03-19T08:28:36.486Z,,http://localhost:4000/api/v2/bank/accounts/deposit/detail,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ3Y2Y4cmp5NmtwaHVkc25lYTBsM3l0a3BkaHFydmN4ejE1NzhtNHE3eHY5emIydGdjYSIsImp0aSI6Ijk5Y2MyMmI0LWY3ZTktNDg2Yy05MDJlLTdjNTVjYWE3NDk0MiIsImV4cCI6MTc0MjM3NjUxMSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM3MjkxMX0.cdzhIfp-jbdXEdqK808xTXqPf-bqEbRzd3e7M8thepk,Mozilla/5.0,bond123456SKFB82CGEMSVZXG,regular,,,,application/json;charset=UTF-8,99,"{""org_code"":""anya123456"",""account_num"":""1884741832"",""next"":""0"",""search_timestamp"":""20250319082836""}",bond123456SKFB82CGEMSVZXG,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""20250319082836"",""detail_cnt"":1,""detailList"":[{""currency_code"":""KRW"",""balance_amt"":""766727.054"",""withdrawable_amt"":""766222.2830000001"",""offered_rate"":""0.048"",""last_paid_in_cnt"":7}]}",200
